Lot Name,Zone,Price,Duration
"103 Street ,Edmonton, AB",Zone 5900,$10,2 Hours
"L Parking Lot ,Edmonton, AB",Zone 5911,$5,2 Hours
"D Parking Lot ,Edmonton, AB",Zone 5904,$5,2 Hours
"M Parkade ,Edmonton, AB",Zone 5912,$5,2 Hours
"J Parking Lot ,Edmonton, AB",Zone 5910,$5,2 Hours
"CATH Parking Lot ,Edmonton, AB",Zone 5902,$12,2 Hours
"U of A - Lot E ,Edmonton, AB",Zone 5123,$11,2 Hours
"U of A - Lot 89 ,Edmonton, AB",Zone 5119,$11,2 Hours
"U of A - Lot N ,Edmonton, AB",Zone 5126,$5.50,2 Hours
"U of A - Lot 700 ,Edmonton, AB",Zone 5120,$11,2 Hours
"124th Street Business Park West - 12420 104th Avenue ,Edmonton, AB",Zone 71101,$8,2 Hours
"Orange Hall - 10335 84 Avenue NW ,Edmonton, AB",Zone 71022,$3,2 Hours
"U of A - Lot U ,Edmonton, AB",Zone 5106,$5.50,2 Hours
"C Parking Lot ,Edmonton, AB",Zone 5903,$5,2 Hours
"AB Parkade ,Edmonton, AB",Zone 5901,$5,2 Hours
"Knox - Fringe - 8403 104 Street NW ,Edmonton, AB",Zone 71013,$3,2 Hours
"U of A - Lot 87 ,Edmonton, AB",Zone 5127,$5.50,2 Hours
"U of A - University Club Lot ,Edmonton, AB",Zone 5108,$5.50,2 Hours
"U of A Windsor Car Park ,Edmonton, AB",Zone 5101,$5.50,2 Hours
"U of A - Timms/Telus Carpark ,Edmonton, AB",Zone 5112,$5.50,2 Hours
"St. Stephens College - 8810 112th Street ,Edmonton, AB",Zone 76110,$6,2 Hours
"10130 82 Avenue NW. ,Edmonton, AB",Zone 71029,$4,2 Hours
"U of A - Lot A ,Edmonton, AB",Zone 5121,$11,2 Hours
"U of A Education Car Park ,Edmonton, AB",Zone 5100,$5.50,2 Hours
"U of A - Van Vliet Loop ,Edmonton, AB",Zone 5114,$11,2 Hours
"U of A - Campus St- Jean (CSJ) (French Campus) ,Edmonton, AB",Zone 5109,$5.50,2 Hours
"U of A - Lot C ,Edmonton, AB",Zone 5122,$11,2 Hours
"U of A Stadium Car Park ,Edmonton, AB",Zone 5102,$5.50,2 Hours
"U of A - Stadium & Comp. Sci. Loop ,Edmonton, AB",Zone 5115,$11,2 Hours
"U of A - University Terrace ,Edmonton, AB",Zone 5111,$5.50,2 Hours
"U of A - Varsity ,Edmonton, AB",Zone 5117,$5.50,2 Hours
"U of A - Clinical Sciences Loop ,Edmonton, AB",Zone 5118,$11,2 Hours
"Concordia University - 7128 Ada Boulevard ,Edmonton, AB",Zone 76104,$3.25,2 Hours
"U of A - Lot M ,Edmonton, AB",Zone 5104,$5.50,2 Hours
"U of A - Jubilee Car Park ,Edmonton, AB",Zone 5130,$6,2 Hours
"Short Term Parking ,Edmonton, AB",Zone 5135,$11,2 Hours
"Concordia University - 71st Street NW ,Edmonton, AB",Zone 76105,$8,2 Hours
"U of A - Jubilee Surface Lot ,Edmonton, AB",Zone 5110,$6,2 Hours
"U of A - Heating Plant/SMS ,Edmonton, AB",Zone 5129,$11,2 Hours
"U of A - Lot L ,Edmonton, AB",Zone 5103,$5.50,2 Hours
"Y Parking Lot ,Edmonton, AB",Zone 5915,$5,2 Hours
"U of A - MICF ,Edmonton, AB",Zone 5107,$10,2 Hours
"SCSC Fitness Centre (Lot J1) ,Edmonton, AB",Zone 5133,$2.50,2 Hours
